,,,date,,tweet_processed,,,target
868,,,12/21/2016,,??íïyou are beautiful ??íï    pic.twitter.com/btElQogRXD,,,0
873,,,12/21/2016,,You are sitting in solitude alone & smoking ............ I know you are sad &  ........but DONT SMOKE BABY  pic.twitter.com/auCoNMXY0m,,,0
876,,,12/21/2016,,"Depression is like, you don't want to do anything. Or you want to do something, but you don't want to do it (at the same time). ",,,0
880,,,12/21/2016,,I'm like 80% with college bull shit ,,,0
882,,,12/21/2016,,I have 2 cuts on my lips and I can't eat spicy food b/c it burns  :'/,,,0
887,,,12/21/2016,,Is you're  you might have a problem with someone close to you.,,,0
890,,,12/21/2016,,Missing San Francisco bit my sister is helping a bit to make me forget about it. ,,,0
891,,,12/20/2016,,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask  ,,,0
895,,,12/20/2016,,"Sad day here in Cometland, school is closed for a few weeks  ",,,0
899,,,12/20/2016,,11 more  til I can stop feeling  I hate ,,,0
909,,,12/20/2016,,YouHaveToStudyWorkHardajajkskanakaoanakaa aaaaand BOOMSHAKALAKAAAA ??ôÉ??ôÉ   but ,,,0
916,,,12/20/2016,,I miss you so much!! I can't wait for you to be back home!! ,,,0
919,,,12/20/2016,,"Maybe I should hang myself with the Christmas lights, there's a nice image for you. Tis the season after all.   ",,,0
924,,,12/20/2016,,A.M. choice if you're mentally well: What clothes should I wear? A.M. choice if you're : What mask should I wear? ,,,0
929,,,12/20/2016,,Nearly 1 in 2 men feel  over the  period,,,0
931,,,12/20/2016,,I'll give in to happiness when it shows its self  ,,,0
952,,,12/20/2016,,??íïyou will be ok??íï    pic.twitter.com/qNSQ2CDuZX,,,0
961,,,12/20/2016,,Bout to break out my secret Santa gift after taking this fatass L in fantasy...   pic.twitter.com/rXmMEsoOPJ,,,0
967,,,12/20/2016,,Maybe I am writting to much..    * going to bed* ..,,,0
1002,,,12/19/2016,,"So, that new  movie was a real hoot ??íÄ???≥  ",,,0
1008,,,12/19/2016,,And as quickly as it entered my life it left. You will surely be missed. Goodbye for now bee filter! Until next time ,,,0
1009,,,12/19/2016,,I just wanna stay up all night play FFXV and not go to work tomorrow.. ,,,0
1011,,,12/19/2016,,"I try to be optimistic, but it just gets hard when all attempts to try are met with failure. ",,,0
1014,,,12/31/2016,, seriously increases the risk both of developing and also dying from heart disease,,,0
1017,,,12/31/2016,,Wouldn't it be great if you looked forward to every tomorrow with the same anticipation you do New Year's?   ,,,0
1020,,,12/31/2016,,"Happy New Year to you all! Remember the power to make it/you, a happy one, is in yourself  ",,,0
1034,,,12/31/2016,,It appears that my bffs  &  decided to stop by today making it impossible to leave the house. ,,,0
1035,,,12/31/2016,,"The first step to beating  or  is to take responsibility for yourself, stop blaming others or circumstances",,,0
1043,,,12/31/2016,,It's only 40 minutes before the  arrives an the  months begin. Look after yourselves and others speak about your problems  pic.twitter.com/gDHivI7EAN,,,0
1044,,,12/31/2016,,Is it true that what ever doesn't killl you makes you stronger?   I'm not so sure.    pic.twitter.com/RzFBCeaGn2,,,0
1060,,,12/31/2016,,"I want 2 wish every Amazing person I've met & conversed on Twitter Health, love & happiness for 2017! Thank u guys??íô ",,,0
1061,,,12/31/2016,,Just wish people understood mental illness   ,,,0
1068,,,12/31/2016,,"Starting 5 positive things exercise,again. It's just writing down 5 good things that happened. It helps with surviving bad days. ",,,0
1091,,,12/31/2016,," is caused by low serotonin. Serotonin motivates, hence why depressed people have no motivation. Activity creates serotonin",,,0
1143,,,12/31/2016,,People with depression are 4x more likely to have a heart attack ,,,0
1159,,,12/31/2016,,New year's eve is so sad to me because it's when my most beloved band split up.    ???ñ,,,0
1210,,,12/31/2016,,Everyone responds differently to  . Some patients take longer before noticing a difference in how they feel. .,,,0
1221,,,12/31/2016,,Happy new year... 2017 Bye bye the year of ,,,0
1236,,,12/31/2016,,"Honestly considering grabbing a cider, putting on Forest Gump and having a good ugly cry.  ",,,0
1243,,,12/31/2016,,Pray for all communities and individuals facing mental health crises.  ,,,0
1254,,,12/31/2016,,"Live in the present, live in the now!     pic.twitter.com/uBd53HFV3z",,,0
1256,,,12/31/2016,,Have u been secretly battling /? Make 2017 the year you tell someone & seek help. You deserve 2 be happy! ,,,0
1351,,,12/31/2016,,It's been a strange year. I beat  at last. I started 2 believe that  it really is2017 I'm ready ???Ö,,,0
1429,,,12/31/2016,, is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more!  pic.twitter.com/3cOsMwidYM,,,0
1439,,,12/31/2016,,"Overall, right now, and that's what matters, I am happier and stronger than I was on the same day last year  ",,,0
1444,,,12/31/2016,,"I managed a continuous 118 day remission in  in 2016,though it was preceded by one of the longest&toughest episodes of depression",,,0
1454,,,12/31/2016,,Less than an hour into the year & someone has already upset me. Just put me down ???ß   ,,,0
1459,,,12/31/2016,,"Dissociation is quite something. Weird to be disconnected from internal feeling, the senses and the environment. Bless serotonin ",,,0
1466,,,12/31/2016,,"If you want a  treatment with little/no side effects, then you want to ask for  Therapy! pic.twitter.com/fJgV89iagH",,,0
1467,,,12/31/2016,,"Happy New Year!! Here's to 2017, believe me, it can't go any worse than 2016 did. Yay for 2017! Lol.  ",,,0
1478,,,12/31/2016,,Tweeting about mental illness doesn't make you brave. Having the courage every day to battle an invisible enemy does.  ,,,0
1520,,,12/31/2016,,Huhhh fuck... wish me luck!   ,,,0
1568,,,12/31/2016,,to all of you with  and  who aren't looking forward to the new year. You aren't alone??íïfeel free to message me if you want,,,0
1578,,,12/31/2016,,Cultivate supportive relationships in order to end ,,,0
1675,,,12/31/2016,,"Jesus I love it when people say ""don't be such a d-buzz just be happier"". Omg I never thought of that! Hey a cure   pic.twitter.com/vXagPPBCKH",,,0
1686,,,12/31/2016,,Something nobody will read   .  pic.twitter.com/XQ5Qtey1B4,,,0
1689,,,12/31/2016,,Getting a temporary break in the  to enjoy Rounda Rousey's loss ???Ñ Abusive bitch deserved it. ,,,0
1708,,,12/31/2016,,"Try to understand the blackness, lethargy, hopelessness, and loneliness they‚Äôre going through. ",,,0
1709,,,12/31/2016,,When ur father AND ur brother lost our transport card...    pic.twitter.com/ZvFZbIgIvo,,,0
1743,,,12/31/2016,,Just read that isolation can lead to ?????????? I've never seen another human in my LIFE and I am FINE AhahhahahaHA,,,0
1807,,,12/31/2016,,Someone quoted and hash tagged one of my tweets once with ,,,0
1821,,,12/31/2016,,"Too much tasks at work can cause stress, , and even poor performance",,,0
1834,,,12/31/2016,,"I really need to know which  composer wrote ""Bubbles,"" if only to know who to blame for my week-long melancholy... ",,,0
1845,,,12/31/2016,,Anger replaced by love = calming. If we love Him all things (& whatever angers you) will work together for good.  ,,,0
1853,,,12/31/2016,, therapy could be an effective option for treating  in adolescents.  pic.twitter.com/Dqo97PbLfn,,,0
1882,,,12/31/2016,,"Sometimes tears are hard to dry wanting only to say goodbye, there's too much to do so let this life live for you. ?© ",,,0
1892,,,12/31/2016,, can be treated and you can feel better,,,0
1942,,,12/30/2016,,Glad the way eastenders is doing Lee's storyline   ,,,0
1945,,,12/30/2016,,  I am legitimately afraid of using social media. Too neurotic.,,,0
1948,,,12/30/2016,,it does but it's not   pic.twitter.com/NdjFnOqSFP,,,0
16,,,12/31/2016,,If my life is goin to continue bein this boring then am definitely not ready for 2017 ,,,1
17,,,12/31/2016,,I get to spend New Year's home again alone and lonely. ???ï ,,,1
26,,,12/31/2016,,I really feel lk crying right now   ,,,1
44,,,12/31/2016,,"Sigh ???î another year coming to a close. For the first time in a while, I want to be alone.  (1/2)",,,1
60,,,12/31/2016,,Honestly I could use someone to talk to....,,,1
67,,,12/31/2016,,Anyone got kik? I need someone to talk too   ,,,1
68,,,12/31/2016,,Can't sleep..got so much on my mind ,,,1
69,,,12/31/2016,,I spent hundreds of dollars on makeup online to cover my ugly face ;-;   ,,,1
76,,,12/31/2016,,Not only have I posted a blog post daily for 2 months I've also filmed and uploaded a daily vlog whilst being severely  ,,,1
79,,,12/31/2016,,"Wish I was one of those girls that has a dad that would do anything for them, not a jerk of a sperm donor ",,,1
94,,,12/30/2016,,stage of my  when everything loosing meaning but i dont think i am ,,,1
95,,,12/30/2016,,I've literally been in the bed all day. ,,,1
169,,,12/30/2016,,Forgot my cheese cake at work ,,,1
171,,,12/30/2016,,I have to pick up all the pieces of my heart & dignity! All over again .. by myself .. that's so pathetic & humiliating .. ??íî??§ß ,,,1
187,,,12/30/2016,,One thing that always makes me sad is when I think about my life too much. The key is to keep myself distracted!  ,,,1
188,,,12/30/2016,,I can be so emotional... Way too emotional! ,,,1
203,,,12/30/2016,,Visited with my ex tonight. Not good.  ,,,1
212,,,12/30/2016,,Can't for one moment think why I've never had a girlfriend. ???ï    pic.twitter.com/GkMrIhR6LI,,,1
215,,,12/29/2016,,if I could I would feel nothing that's the truth and I don't care. the world is cold and life's not fair.   ,,,1
238,,,12/29/2016,,"Omfgoodness! I have gained soooooooooo much weight, it is on like donkey Kong! ",,,1
248,,,12/29/2016,,Just want to stay in bed all day... ,,,1
259,,,12/29/2016,,I shouldnt let it bother me but it does. I hate nights like this when my thoughts wont leave me in peace.  ,,,1
268,,,12/29/2016,,I don't know why these whole things are happening to me. I feel so  and . I don't know what to say to my parents too. ,,,1
280,,,12/29/2016,,Maybe I won't see 2017. I don't know.   ,,,1
283,,,12/29/2016,,Having a day where I hate myself for not perusing art stuff harder & being too sad to do anything about that.  ,,,1
289,,,12/28/2016,,I am the blue ball.     pic.twitter.com/Cy0nFtBk1I,,,1
297,,,12/28/2016,,"If Russia, Saudia or Iran wants to use an extra man to die for them in any battlefield anywhere in the world would happily join, ",,,1
332,,,12/28/2016,,"Reading tweets about someone's death makes me think I'll die someday, maybe soon, who knows... ",,,1
358,,,12/28/2016,,I'm falling apart and no one cares   pic.twitter.com/2APJu6tKV0,,,1
383,,,12/27/2016,,I can tell by the end of the night I'm gonna cut my arm  ,,,1
390,,,12/27/2016,,It's only 7:20pm and I'm off my tits on alcohol   ,,,1
404,,,12/27/2016,,Is it bad I'm thinking bout saying fucc work and Gettin Drunk aGain ,,,1
413,,,12/27/2016,,Found out something today apparently im a bad person???? ,,,1
418,,,12/27/2016,,"I would never kill myself, but I don't think I would do anything to stop death from coming ",,,1
431,,,12/27/2016,,"How do you put your heart and souls into something for 5+ years, and get treated like you don't exist there? ",,,1
433,,,12/27/2016,,Wounds and scars look beautiful on my body ...   ,,,1
441,,,12/27/2016,,Really feel like shouting and throw things. I'm just so vexed.  ,,,1
443,,,12/27/2016,,Only the insecure withhold praise of another's achievements     ,,,1
445,,,12/27/2016,,"I'm always uncomfortable, especially now that I've picked up so much weight.  I'm the heaviest I've ever been in my life.  .",,,1
472,,,12/26/2016,,Talking about my sexuality like its a wildfire. ,,,1
475,,,12/26/2016,,.  I really don't want to interact with anyone in person  today.,,,1
476,,,12/26/2016,,Biggest regret till now -  Ageing beyond teens!  ,,,1
491,,,12/26/2016,,Need to get out of this godforsaken place  ,,,1
505,,,12/26/2016,,I feel like I'm waiting for something that isn't going happen.    pic.twitter.com/duO3xqIPNE,,,1
506,,,12/26/2016,,one sec ur  and the other ur ,,,1
523,,,12/26/2016,,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,,,1
533,,,12/26/2016,,everything is coming back to me all of a sudden. This ... is not a good feeling at all   ,,,1
537,,,12/26/2016,,"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. ",,,1
542,,,12/25/2016,,"Over the past 2 days I've drank 27 bottles of beer, 2 pints of cider and half a bottle of prosecco.  ",,,1
552,,,12/25/2016,,Ive no one to talk to at this hour.  ,,,1
564,,,12/25/2016,,I don't know why but I'm suddenly very  ????,,,1
565,,,12/25/2016,,"Gutted ,my slipped disk decided to come back last night,led in bed on Christmas Day while my family having fun downstairs  ",,,1
566,,,12/25/2016,,I dont usually feel much...but when i do...it sucks so much   ,,,1
569,,,12/25/2016,,Back to the same stage where I was once in the month of May-June!   I wish I could delete year 2016 forever!,,,1
591,,,12/25/2016,,I wish I wasn't so emotionally all over the place. I feel bad 4 people who have 2 deal with me. I'm such a fuck up... ???£  ,,,1
607,,,12/25/2016,,I've had 18 beers today and I'm going to have more. It's gonna be a long day  ,,,1
614,,,12/24/2016,,I'm on my 14th or 15th beer now. God I'm so alone please let me die. ‚?π??î´  ,,,1
622,,,12/24/2016,,Really thinking about killing myself now   ,,,1
631,,,12/24/2016,,Realized that not ever having children has made me .,,,1
643,,,12/24/2016,,"I know I sound like ,  hot mess. But I just don't know I am related to such mean .",,,1
679,,,12/23/2016,,I dont know how many beers I've had and I dont know how many more im going to have all I know is im getting drunk  ,,,1
699,,,12/23/2016,,"How can someone be happy at xmas, when you can't be with the ones you love?   ",,,1
736,,,12/23/2016,,"When I was a little boy, I never dreamed I'd end up like this.  .",,,1
741,,,12/23/2016,,I think my habit of reading  with morning  is the root cause of the  feeling throughout the day! specially in 2016,,,1
748,,,12/22/2016,,very depressed rn... just got done crying my eyes out again:/ but feeling very masculine rn...    pic.twitter.com/nLb1sEozuU,,,1
762,,,12/22/2016,,It's time like this that the lord is testing me and I just want give up. Just kill me now!   ,,,1
771,,,12/22/2016,,I cant wait to disappear and get forgotten.???î ,,,1
774,,,12/22/2016,,I'm  the same way the Jews were depressed right before they LEFT  !!!,,,1
782,,,12/22/2016,,Woke up feeling  AF. Okay. Guess that's how today is gonna be.,,,1
785,,,12/22/2016,,  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,,,1
786,,,12/22/2016,,My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago ,,,1
793,,,12/22/2016,,How would you feel if your parents were to argue each and every single day?  ,,,1
809,,,12/22/2016,,One step forward multiple steps back. Still no idea what I can do about it. ,,,1
811,,,12/22/2016,,Applied to 5 universities already. Now I need my Fasfa and scholarship letters ,,,1
